Name 1,URN,Salesforce ID,Customer Type,Customer Watch Status,Customer Watch Status Date,Credit Risk Rating,Credit Risk Rating Date,Assigned Risk Rating Date,Primary Industry Group,Primary Industry,Industry Group,Industry,Industry Weighting,Citizenship Class,Assigned Rating/ECGD Status,Loss Given Default,Probability of Default
DOGUS INSAAT VE TICARET A.S,00326292,0014K00000bOoRKQA0,COMPANY,Good,NULL,N/A,2023-11-01,NULL,CIVIL: CONSTRUCTION,BRIDGES,CIVIL: CONSTRUCTION,BRIDGES,0,NO,CORPORATE,0,0
DUBAI HOLDING COMMERCIAL OPERATIONS GROUP LLC,00317208,0010X00004PwsgRQAR,COMPANY,Good,NULL,BBB-,2022-08-15,2022-08-10,CIVIL: MISCELLANEOUS,CIVIL: MISCELLANEOUS,CIVIL: MISCELLANEOUS,CIVIL: MISCELLANEOUS,0,NO,CORPORATE,50,0
DUNLOP OIL & MARINE LIMITED,00312741,001b000000j9XAfAAM,COMPANY,Good,NULL,NOT KNOWN,2005-04-26,NULL,CIVIL: ENERGY (OIL),ENERGY (OIL) : MISCELLANEOUS,CIVIL: ENERGY (OIL),ENERGY (OIL) : MISCELLANEOUS,0,YES,CORPORATE,0,0
EDBRO PLC.,00301853,001b000000jvWThAAM,COMPANY,Good,NULL,NOT KNOWN,2005-04-26,NULL,CIVIL: MISCELLANEOUS,CIVIL: MISCELLANEOUS,CIVIL: MISCELLANEOUS,CIVIL: MISCELLANEOUS,0,YES,CORPORATE,0,0
EUROPA CROWN LIMITED,00311412,001b000000TA4kZAAT,COMPANY,Good,NULL,NOT KNOWN,2005-04-26,NULL,CIVIL: PROCESS PLANT & EQUIPMENT,CIVIL: PROCESS PLANT & EQUIPMENT: MISCELLANEOUS,CIVIL: PROCESS PLANT & EQUIPMENT,CIVIL: PROCESS PLANT & EQUIPMENT: MISCELLANEOUS,0,YES,CORPORATE,0,0
EUROPEAN SAO LIMITED,00327021,0014K00000mMz0cQAC,COMPANY,Good,NULL,B,2023-09-26,2023-09-26,DEFENCE: CATEGORY B (NON SHARP ARMS),AIRCRAFTS AND PARTS,DEFENCE: CATEGORY B (NON SHARP ARMS),AIRCRAFTS AND PARTS,0,NO,CORPORATE,0,0
FIRST ABU DHABI BANK (UAE),00321838,0014K00000N9oN7QAJ,COMPANY,Good,NULL,N/A,2024-08-28,2024-08-28,CIVIL: RENEWABLE ENERGY,SOLAR POWER,CIVIL: RENEWABLE ENERGY,SOLAR POWER,0,NO,CORPORATE,0,0
FOSTER + PARTNERS LIMITED,00306962,001b000000aji4uAAA,COMPANY,Good,NULL,N/A,2014-09-23,2014-09-23,CIVIL: SERVICES,FINANCIAL AND PROFESSIONAL SERVICES,CIVIL: SERVICES,FINANCIAL AND PROFESSIONAL SERVICES,0,YES,CORPORATE,0,0
FOSUN INTERNATIONAL LIMITED,00322555,0014K00000QslRjQAJ,COMPANY,Good,NULL,B+,2022-09-20,2022-10-11,CIVIL: LEISURE & TOURISM,LEISURE & TOURISM,CIVIL: LEISURE & TOURISM,LEISURE & TOURISM,0,NO,CORPORATE,60,0
"FRANCE, MINISTRY OF ECONOMY AND FIN",00322407,0014K00000Pd3buQAB,COMPANY,Good,NULL,N/A,2023-01-30,2023-01-30,DEFENCE: CATEGORY B (NON SHARP ARMS),"SHIPS' FITTINGS, COMPONENTS AND EQUIPMENT",DEFENCE: CATEGORY B (NON SHARP ARMS),"SHIPS' FITTINGS, COMPONENTS AND EQUIPMENT",0,NO,SOVEREIGN,0,0
GEMLIK GUBRE SANAYI A.S,00320168,00167000056jEd1AAE,COMPANY,Good,NULL,B-,2022-08-18,2022-08-18,CIVIL: PETROCHEMICALS,CIVIL: PETROCHEMICALSMISCELLANEOUS,CIVIL: PETROCHEMICALS,CIVIL: PETROCHEMICALSMISCELLANEOUS,0,NO,CORPORATE,0,0
GENERAL SYSTEMS DESIGN UK LTD,00304438,001b000003ThJJgAAN,COMPANY,Good,NULL,N/A,2015-09-16,2015-09-16,CIVIL: ENERGY (GAS),EQUIPMENT INC SPARES,CIVIL: ENERGY (GAS),EQUIPMENT INC SPARES,0,YES,CORPORATE,0,0
