Name 1,URN,Salesforce ID,Customer Type,Customer Watch Status,UK Entity?,SME,Officer Risk Rating,Primary Industry Classification,Country,Rating Entity,Assigned Rating/ECGD Status,Loss Given Default
MARITIME DEVELOPMENT LTD,00317363,0010X00004SuHKCQA3,100,0,CITIZENCLASS#2,60,99,Citizenship Class,GBR,150,03,0
MARLBOROUGH COMMUNICATIONS LIMITED,00306580,001b000000jvWe7AAE,100,0,CITIZENCLASS#1,10,98,Citizenship Class,GBR,150,03,0
MODERN KARTON,00327505,0014K00000fGaC1QAK,100,0,CITIZENCLASS#2,20,15,Citizenship Class,TUR,150,03,0
NATIONAL AUTHORITY FOR TUNNELS,00318621,0010X00004sWjn0QAC,100,0,CITIZENCLASS#2,20,99,Citizenship Class,EGY,150,03,0
NATIONAL BANK OF KUWAIT (INTERNATIONAL) PLC,00309684,001b000000LJKFzAAP,900,0,CITIZENCLASS#1,20,06,Citizenship Class,GBR,150,03,0
NAVAL GROUP,00323830,0014K00000VEJELQA5,100,0,CITIZENCLASS#2,20,03,Citizenship Class,FRA,150,01,0
NEDBANK LIMITED,00308701,001b000003zGRyaAAG,900,0,CITIZENCLASS#1,30,98,Citizenship Class,GBR,150,03,0
NEXUS GREEN LIMITED,00306046,001b000003esdNyAAI,100,0,CITIZENCLASS#1,40,15,Citizenship Class,GBR,150,03,0
NISSAN MOTOR COMPANY LIMITED,00319902,00167000055qvlKAAQ,100,0,CITIZENCLASS#2,20,11,Citizenship Class,JPN,150,03,40
NISSAN MOTOR MANUFACTURING (UK) LIMITED,00308810,001b000000jvWgdAAE,100,0,CITIZENCLASS#1,20,10,Citizenship Class,GBR,150,03,50
NORDIC TRUSTEE AS,00326693,0014K00000k6Nj9QAE,900,0,CITIZENCLASS#2,70,27,Citizenship Class,NOR,150,03,0
OCYAN OIL SERVICES LTD,00326183,0014K00000fGv48QAC,100,0,CITIZENCLASS#2,20,99,Citizenship Class,BRA,150,03,0
OMEGA FOUNDRY MACHINERY LTD,00311023,001b000000Hy76DAAR,100,0,CITIZENCLASS#1,10,14,Citizenship Class,GBR,150,03,0
ONUR TAAHHUT TASIMACILIK INSAAT TICARET VE SANAYI ANONIM SIRKETI,00325757,0014K00000dVplEQAS,100,0,CITIZENCLASS#2,30,99,Citizenship Class,TUR,150,03,0
PETROFAC SERVICES LIMITED,00313236,001b000000jvWifAAE,100,0,CITIZENCLASS#1,20,99,Citizenship Class,GBR,150,03,0
POWERX EQUIPMENT LIMITED,00322145,0014K00000NHo0qQAD,100,0,CITIZENCLASS#1,50,99,Citizenship Class,GBR,150,03,0
PRESTIGE DIAGNOSTICS UK,00321814,0014K00000MOtPWQA1,100,0,CITIZENCLASS#1,40,99,Citizenship Class,GBR,150,03,0
PT DAGANG SAMUDERA HUTAMA,00320819,0016700005BosVOAAZ,100,0,CITIZENCLASS#2,20,12,Citizenship Class,IDN,150,03,0
QUALTER HALL & COMPANY LIMITED,00301463,001b000003XoFL0AAN,100,0,CITIZENCLASS#1,20,98,Citizenship Class,GBR,150,03,0
REASSURE LTD,00321242,0016700005DWvOTAA1,100,0,CITIZENCLASS#1,70,99,Citizenship Class,GBR,150,03,0
ROUGHTON INTERNATIONAL LIMITED,00310205,001b000000Hy7plAAB,200,0,CITIZENCLASS#1,50,18,Citizenship Class,GBR,150,03,0
RUSTON DIESELS LTD,00301803,0010X0000536FmyQAE,100,0,CITIZENCLASS#1,20,98,Citizenship Class,GBR,150,03,0
S E B,00310342,001b000000UluHRAAZ,900,0,CITIZENCLASS#1,20,98,Citizenship Class,GBR,150,03,0
SABRE COMPUTERS INTERNATIONAL LTD,00306603,001b000000UllfKAAR,100,0,CITIZENCLASS#1,50,14,Citizenship Class,GBR,150,03,0
SANTANDER - SPAIN,00320936,0016700005Br9ItAAJ,900,0,CITIZENCLASS#2,20,99,Citizenship Class,GBR,150,03,0
SBC (UGANDA) LIMITED,00307064,0010X00004uuoPbQAI,100,0,CITIZENCLASS#1,20,99,Citizenship Class,GBR,150,03,0
SEADREC LTD,00302127,0010X000054TPH2QAO,100,0,CITIZENCLASS#1,10,98,Citizenship Class,GBR,150,03,0
