Name 1,URN,Salesforce ID,Customer Type,Customer Watch Status,Credit Risk Rating,Primary Industry Classification,Assigned Rating/ECGD Status,Loss Given Default
ABANCA CORPORACION BANCARIA S.A.,00324248,0014K00000XNSoCQAX,BANK,Good,N/A,PRIMIND#00288957,CORPORATE,0
ACROW GLOBAL LIMITED,00319456,0010X0000538pt8QAA,COMPANY,Good,N/A,PRIMIND#00287124,CORPORATE,0
AF CONSTRUCTION LLC,00317770,0010X00004YwWFXQA3,COMPANY,Good,N/A,PRIMIND#00286555,CORPORATE,0
AL YAH SATELLITE COMMS COMPANY,00322585,0014K00000QtX7jQAF,COMPANY,Good,A-,PRIMIND#00291429,CORPORATE,50
AMPCONTROL UK LIMITED,00308009,001b000000kTxNfAAK,COMPANY,Good,N/A,PRIMIND#00003024,CORPORATE,0
AQUA AFRICA LIMITED,00305194,001b000000phuy1AAA,COMPANY,Good,N/A,PRIMIND#00283215,CORPORATE,0
ATLAS AIR INC,00314228,0010X00004Eqe0CQAR,COMPANY,Good,BB-,PRIMIND#00265028,CORPORATE,0
ATLAS AIR WORLDWIDE HOLDINGS,00300018,0010X000051xAfqQAE,COMPANY,Good,BB-,PRIMIND#00271937,CORPORATE,0
ATLAS COVERTING EQUIPMENT LTD,00303506,001b000000f7IhpAAE,COMPANY,Good,N/A,PRIMIND#00269684,CORPORATE,0
AVERY BERKEL LIMITED,00304094,001b000000jvJPZAA2,COMPANY,Good,NOT KNOWN,PRIMIND#00004529,CORPORATE,0
AVIVA LIFE & PENSIONS UK LIMITED,00311613,0014K00000TJrDrQAL,COMPANY,Good,N/A,PRIMIND#00274823,CORPORATE,0
BABCOCK MARINE SHIPBUILDING LIMITED,00326560,0014K00000iy09HQAQ,COMPANY,Good,N/A,PRIMIND#00295101,CORPORATE,0
BALFOUR BEATTY PLC,00300166,0010X000047f8cEQAQ,COMPANY,Good,NOT KNOWN,PRIMIND#00004281,CORPORATE,0
BEROA BIERRUM,00317193,0010X00004PwS7CQAV,COMPANY,Good,N/A,PRIMIND#00277964,CORPORATE,0
BPI FRANCE ASSURANCE EXPORT S.A.S,00315356,0010X00004EFwNPQA1,COMPANY,Good,N/A,PRIMIND#00289189,CORPORATE,0
